County, FIPS,Value_Index
"Dooly County, Georgia",13093,0.9192
"Dougherty County, Georgia",13095,0.9723
"Douglas County, Georgia",13097,0.6929
"Early County, Georgia",13099,0.9656
"Echols County, Georgia",13101,0.5175
"Effingham County, Georgia",13103,0.3351
"Elbert County, Georgia",13105,0.9691
"Emanuel County, Georgia",13107,0.9873
"Evans County, Georgia",13109,0.9644
"Fannin County, Georgia",13111,0.4866
"Fayette County, Georgia",13113,0.1397
"Floyd County, Georgia",13115,0.9529
"Forsyth County, Georgia",13117,0.07
"Franklin County, Georgia",13119,0.7473
"Fulton County, Georgia",13121,0.69
"Gilmer County, Georgia",13123,0.6544
"Glascock County, Georgia",13125,0.6639
"Glynn County, Georgia",13127,0.7549
"Gordon County, Georgia",13129,0.8721
"Grady County, Georgia",13131,0.9246
"Greene County, Georgia",13133,0.5633
"Gwinnett County, Georgia",13135,0.6015
"Habersham County, Georgia",13137,0.6703
"Hall County, Georgia",13139,0.7896
"Hancock County, Georgia",13141,0.902
"Haralson County, Georgia",13143,0.422
"Harris County, Georgia",13145,0.0675
"Hart County, Georgia",13147,0.8116
"Heard County, Georgia",13149,0.8103
"Henry County, Georgia",13151,0.4001
"Houston County, Georgia",13153,0.5369
"Irwin County, Georgia",13155,0.8265
"Jackson County, Georgia",13157,0.387
"Jasper County, Georgia",13159,0.6063
"Jeff Davis County, Georgia",13161,0.8724
"Jefferson County, Georgia",13163,0.9819
"Jenkins County, Georgia",13165,0.8495
"Johnson County, Georgia",13167,0.9468
"Jones County, Georgia",13169,0.2712
"Lamar County, Georgia",13171,0.5837
"Lanier County, Georgia",13173,0.6515
"Laurens County, Georgia",13175,0.8692
"Lee County, Georgia",13177,0.2925
"Liberty County, Georgia",13179,0.8606
"Lincoln County, Georgia",13181,0.7323
"Long County, Georgia",13183,0.95
"Lowndes County, Georgia",13185,0.8733
"Lumpkin County, Georgia",13187,0.4058
"McDuffie County, Georgia",13189,0.8507
"McIntosh County, Georgia",13191,0.5376
"Macon County, Georgia",13193,0.979
"Madison County, Georgia",13195,0.7059
"Marion County, Georgia",13197,0.7909
"Meriwether County, Georgia",13199,0.8943
"Miller County, Georgia",13201,0.9112
"Mitchell County, Georgia",13205,0.9917
"Monroe County, Georgia",13207,0.4717
"Montgomery County, Georgia",13209,0.8485
"Morgan County, Georgia",13211,0.246
"Murray County, Georgia",13213,0.6922
"Muscogee County, Georgia",13215,0.9497
"Newton County, Georgia",13217,0.7206
"Oconee County, Georgia",13219,0.0468
"Oglethorpe County, Georgia",13221,0.5948
"Paulding County, Georgia",13223,0.1661
"Peach County, Georgia",13225,0.9418
"Pickens County, Georgia",13227,0.4042
"Pierce County, Georgia",13229,0.4885
"Pike County, Georgia",13231,0.0913
"Polk County, Georgia",13233,0.8444
"Pulaski County, Georgia",13235,0.9749
"Putnam County, Georgia",13237,0.7467
"Quitman County, Georgia",13239,0.8383
"Rabun County, Georgia",13241,0.6222
"Randolph County, Georgia",13243,0.9987
"Richmond County, Georgia",13245,0.9631
"Rockdale County, Georgia",13247,0.7705
"Schley County, Georgia",13249,0.619
"Screven County, Georgia",13251,0.8192
"Seminole County, Georgia",13253,0.93
"Spalding County, Georgia",13255,0.7731
"Stephens County, Georgia",13257,0.7537
"Stewart County, Georgia",13259,0.9637
"Sumter County, Georgia",13261,0.936
"Talbot County, Georgia",13263,0.8962
"Taliaferro County, Georgia",13265,0.8017
"Tattnall County, Georgia",13267,0.9036
"Taylor County, Georgia",13269,0.9319
"Telfair County, Georgia",13271,0.8711
"Terrell County, Georgia",13273,0.9831
"Thomas County, Georgia",13275,0.8861
"Tift County, Georgia",13277,0.8978
"Toombs County, Georgia",13279,0.9688
"Towns County, Georgia",13281,0.2849
"Treutlen County, Georgia",13283,0.9717
